,device_brand,5g,internal_memory,ram,days_used,price
0,10,0,64.0,3.0,127,26660
1,10,1,128.0,8.0,325,31992
2,10,1,128.0,8.0,162,31682
3,10,1,64.0,6.0,345,31806
4,10,0,64.0,3.0,293,27156
5,10,0,64.0,4.0,223,27342
6,10,0,32.0,2.0,234,23994
7,10,0,64.0,4.0,219,29264
8,10,0,128.0,6.0,161,30256
9,10,0,128.0,6.0,327,29574
10,10,0,64.0,3.0,268,26412
11,10,0,64.0,4.0,344,28830
12,10,1,128.0,8.0,537,33356
13,10,0,64.0,4.0,336,28582
14,10,0,32.0,2.0,230,25482
15,10,0,64.0,4.0,248,27342
16,10,0,128.0,6.0,395,31124
17,10,0,64.0,4.0,421,29574
18,10,0,32.0,2.0,532,26288
19,10,0,32.0,3.0,266,26412
20,10,0,32.0,3.0,321,28210
21,11,0,16.0,1.0,933,27590
22,11,0,32.0,3.0,187,28272
23,11,0,64.0,4.0,499,28458
24,11,0,32.0,3.0,497,27404
25,11,0,128.0,6.0,202,32302
26,11,0,64.0,4.0,493,28706
27,11,1,128.0,6.0,91,30380
28,11,1,64.0,6.0,299,29884
29,11,0,128.0,4.0,354,28334
30,11,0,128.0,4.0,306,30194
31,11,0,16.0,2.0,231,25854
32,11,1,128.0,8.0,205,29140
33,11,0,64.0,4.0,211,31806
34,11,1,256.0,8.0,120,38130
35,11,0,64.0,4.0,161,28768
36,11,1,128.0,6.0,139,32116
37,11,0,64.0,4.0,93,26784
38,11,0,128.0,6.0,460,31372
39,11,0,128.0,8.0,223,30566
40,11,0,128.0,6.0,256,30938
41,11,0,64.0,6.0,206,30938
42,11,0,64.0,6.0,488,28086
43,11,0,64.0,4.0,516,29140
44,11,1,512.0,12.0,289,35154
45,11,1,128.0,6.0,477,33356
46,11,0,128.0,6.0,195,31062
47,11,0,128.0,6.0,244,31868
48,11,0,128.0,4.0,376,29946
49,11,0,64.0,4.0,205,30566
50,11,0,128.0,6.0,406,32798
51,11,0,64.0,4.0,462,31000
52,11,0,128.0,8.0,333,33604
53,11,0,128.0,8.0,284,33294
54,11,0,128.0,6.0,202,31310
55,11,0,64.0,4.0,445,31248
56,11,0,64.0,4.0,375,28520
57,11,0,16.0,4.0,666,22134
58,11,0,8.0,1.0,819,24676
59,11,0,32.0,2.0,245,26536
60,11,0,64.0,4.0,173,27032
61,11,0,32.0,2.0,256,25916
62,11,0,32.0,3.0,316,28210
63,11,0,32.0,2.0,468,27342
64,11,0,32.0,2.0,356,24676
65,11,0,8.0,0.5,819,21638
66,11,0,32.0,3.0,233,29264
67,11,0,64.0,4.0,419,32302
68,11,0,16.0,2.0,267,24428
69,11,0,16.0,2.0,461,29574
70,11,0,16.0,2.0,423,27652
71,11,0,32.0,1.0,528,24118
72,11,0,64.0,6.0,254,27404
73,11,1,128.0,6.0,370,33108
74,11,0,64.0,4.0,482,28954
75,11,0,16.0,2.0,691,31310
76,11,0,64.0,4.0,273,30194
77,11,0,64.0,3.0,349,26970
78,11,0,8.0,1.0,343,23994
79,11,1,128.0,8.0,352,29326
80,11,1,128.0,8.0,142,33914
81,11,0,32.0,3.0,92,28706
82,11,0,32.0,3.0,166,26226
83,11,0,32.0,4.0,329,29140
84,11,1,256.0,8.0,383,33852
85,11,0,64.0,4.0,443,29078
86,11,0,16.0,2.0,257,26350
87,11,0,16.0,1.0,380,25296
88,11,0,32.0,2.0,255,28768
89,11,0,32.0,3.0,512,28210
90,11,0,64.0,4.0,223,27652
91,11,0,32.0,3.0,200,28396
92,11,0,32.0,3.0,210,27094
93,11,0,32.0,3.0,216,27962
